DT,PersianDate,ContractCode,FirstPrice,MaxPrice,MinPrice,LastPrice,TradesVolume,TradesValue,OpenInterest,ChangeOpenInterest,ActiveCustomers,ActiveBrokers,C_Buy,C_Sell,LastSettlementPrice,TodaySettlementPrice,SettlementPricePercent
2025-04-16T00:00:00,1404/01/27,CD1SIB0001,960000.0,990000.0,960000.0,979980.0,30034,29568031730,11738767,2126,2543,61,68,38,960937.0,984485.0,2.4505
2025-04-17T00:00:00,1404/01/28,CD1SIB0001,975000.0,980000.0,950200.0,976000.0,3445,3349512840,11738767,0,2542,61,24,12,984485.0,972282.0,-1.2395
2025-04-19T00:00:00,1404/01/30,CD1SIB0001,940000.0,944990.0,923670.0,923670.0,23834,22091494650,11738767,0,2547,61,148,20,972282.0,926890.0,-4.6686
2025-04-20T00:00:00,1404/01/31,CD1SIB0001,915780.0,915780.0,880550.0,880550.0,49061,43259864020,11738767,0,2558,61,149,7,926890.0,881757.0,-4.8693
2025-04-21T00:00:00,1404/02/01,CD1SIB0001,917020.0,925840.0,838000.0,915800.0,235789,215155297130,11738806,39,2570,61,147,38,881757.0,912491.0,3.4855
2025-04-22T00:00:00,1404/02/02,CD1SIB0001,914000.0,914000.0,875000.0,881000.0,31125,27752622230,11740155,1349,2584,61,124,28,912491.0,891651.0,-2.2839
2025-04-23T00:00:00,1404/02/03,CD1SIB0001,889000.0,894420.0,869980.0,885000.0,58803,52034178420,11746556,6401,2581,61,88,28,891651.0,884890.0,-0.7583
2025-04-24T00:00:00,1404/02/04,CD1SIB0001,0,0,0,0,0,0,11746556,0,2581,61,0,0,884890.0,884890.0,0
2025-04-26T00:00:00,1404/02/06,CD1SIB0001,870000.0,906860.0,870000.0,897000.0,53067,47144000170,11781335,34779,2587,61,100,32,884890.0,888386.0,0.3951
2025-04-27T00:00:00,1404/02/07,CD1SIB0001,932800.0,932800.0,900000.0,916990.0,63216,58006018470,11817758,36423,2587,61,84,42,888386.0,917584.0,3.2866
2025-04-28T00:00:00,1404/02/08,CD1SIB0001,914990.0,914990.0,879610.0,886500.0,31597,28211488050,11841817,24059,2590,61,126,23,917584.0,892853.0,-2.6952
2025-04-29T00:00:00,1404/02/09,CD1SIB0001,899550.0,930000.0,898660.0,917000.0,27770,25174852270,11841817,0,2588,61,47,31,892853.0,906549.0,1.534
2025-04-30T00:00:00,1404/02/10,CD1SIB0001,920000.0,929000.0,896100.0,910000.0,92259,83324567110,11912738,70921,2600,61,83,20,906549.0,903159.0,-0.3739
2025-05-01T00:00:00,1404/02/11,CD1SIB0001,920000.0,920000.0,895000.0,908000.0,8686,7812451520,11912738,0,2601,61,32,8,903159.0,899430.0,-0.4129
2025-05-03T00:00:00,1404/02/13,CD1SIB0001,944390.0,944390.0,928600.0,940990.0,56181,52560082440,11912738,0,2601,61,70,33,899430.0,935549.0,4.0158
